-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            ROSFOLDERT                    |
-----------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|La|InfoObject(IOBJNM)            |Node name(NODENAME)             |Descript.(TXTSH)    |Descript.(TXTMD)                        |Descript.(TXTLG)                                            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|EN|0HIER_NODE                    |CAUS                            |Commercial balance s|Commercial balance sheet USA            |Commercial balance sheet USA                                |
|EN|0HIER_NODE                    |CAUS1000000                     |Assets              |Assets                                  |Assets                                                      |
|EN|0HIER_NODE                    |CAUS1010000                     |Current Assets      |Current Assets                          |Current Assets                                              |
|EN|0HIER_NODE                    |CAUS1011000                     |cash                |cash                                    |cash                                                        |
|EN|0HIER_NODE                    |CAUS1011100                     |Petty Cash          |Petty Cash                              |Petty Cash                                                  |
|EN|0HIER_NODE                    |CAUS1011200                     |Cheque Account      |Cheque Account                          |Cheque Account                                              |
|EN|0HIER_NODE                    |CAUS1011300                     |Bank 1              |Bank 1                                  |Bank 1                                                      |
|EN|0HIER_NODE                    |CAUS1011400                     |Bank 2              |Bank 2                                  |Bank 2                                                      |
|EN|0HIER_NODE                    |CAUS1011500                     |Bank 3              |Bank 3                                  |Bank 3                                                      |
|EN|0HIER_NODE                    |CAUS1011600                     |bank 4              |bank 4                                  |bank 4                                                      |
|EN|0HIER_NODE                    |CAUS1012000                     |marketable securitie|marketable securities                   |marketable securities                                       |
|EN|0HIER_NODE                    |CAUS1012100                     |Stocks & Bonds      |Stocks & Bonds                          |Stocks & Bonds                                              |
|EN|0HIER_NODE                    |CAUS1012200                     |trade investments   |trade investments                       |trade investments                                           |
|EN|0HIER_NODE                    |CAUS1013000                     |accounts receivable |accounts receivable                     |accounts receivable                                         |
|EN|0HIER_NODE                    |CAUS1013100                     |Accounts receiveble-|Accounts receiveble-short term          |Accounts receiveble-short term                              |
|EN|0HIER_NODE                    |CAUS1013200                     |trade receivables-sh|trade receivables-short term            |trade receivables-short term                                |
|EN|0HIER_NODE                    |CAUS1013300                     |less allowance for d|less allowance for doubt debt           |less allowance for doubt debt                               |
|EN|0HIER_NODE                    |CAUS1015000                     |inventory           |inventory                               |inventory                                                   |
|EN|0HIER_NODE                    |CAUS1015100                     |raw materials       |raw materials                           |raw materials                                               |
|EN|0HIER_NODE                    |CAUS1016000                     |other current assets|other current assets                    |other current assets                                        |
