-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            DTFIGL_HIERNODE               |
-----------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|ID(NODEI|InfoObject(IOBJNM)            |Node name(NODENAME)             |Le|L|Parent I|Child ID|Next ID(|Valid from|To(DATETO)|I|Field(FIELDNM)                |Chrt|G/L acct(S|S|(|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       1|0HIER_NODE                    |CAUS                            | 1| |        |       2|        |          |          | |NODENAME                      |    |          | | |
|       2|0HIER_NODE                    |CAUS1000000                     | 2| |       1|       3|     162|          |          | |NODENAME                      |    |          | | |
|       3|0HIER_NODE                    |CAUS1010000                     | 3| |       2|       4|     122|          |          | |NODENAME                      |    |          | | |
|       4|0HIER_NODE                    |CAUS1011000                     | 4| |       3|       5|      45|          |          | |NODENAME                      |    |          | | |
|       5|0HIER_NODE                    |CAUS1011100                     | 5| |       4|       6|      12|          |          | |NODENAME                      |    |          | | |
|       6|0GL_ACCOUNT                   |CAUS0000100000                  | 6| |       5|        |       7|          |          | |SAKNR                         |CAUS|100000    | | |
|       7|0GL_ACCOUNT                   |CAUS0000100009                  | 6| |       5|        |       8|          |          | |SAKNR                         |CAUS|100009    | | |
|       8|0GL_ACCOUNT                   |CAUS0000100030                  | 6| |       5|        |       9|          |          | |SAKNR                         |CAUS|100030    | | |
|       9|0GL_ACCOUNT                   |CAUS0000101000                  | 6| |       5|        |      10|          |          | |SAKNR                         |CAUS|101000    | | |
|      10|0GL_ACCOUNT                   |CAUS0000102000                  | 6| |       5|        |      11|          |          | |SAKNR                         |CAUS|102000    | | |
|      11|0GL_ACCOUNT                   |CAUS0000102009                  | 6| |       5|        |        |          |          | |SAKNR                         |CAUS|102009    | | |
|      12|0HIER_NODE                    |CAUS1011200                     | 5| |       4|      13|      17|          |          | |NODENAME                      |    |          | | |
|      13|0GL_ACCOUNT                   |CAUS0000110000                  | 6| |      12|        |      14|          |          | |SAKNR                         |CAUS|110000    | | |
|      14|0GL_ACCOUNT                   |CAUS0000110002                  | 6| |      12|        |      15|          |          | |SAKNR                         |CAUS|110002    | | |
|      15|0GL_ACCOUNT                   |CAUS0000110005                  | 6| |      12|        |      16|          |          | |SAKNR                         |CAUS|110005    | | |
|      16|0GL_ACCOUNT                   |CAUS0000110009                  | 6| |      12|        |        |          |          | |SAKNR                         |CAUS|110009    | | |
|      17|0HIER_NODE                    |CAUS1011300                     | 5| |       4|      18|      31|          |          | |NODENAME                      |    |          | | |
|      18|0GL_ACCOUNT                   |CAUS0000113100                  | 6| |      17|        |      19|          |          | |SAKNR                         |CAUS|113100    | | |
|      19|0GL_ACCOUNT                   |CAUS0000113101                  | 6| |      17|        |      20|          |          | |SAKNR                         |CAUS|113101    | | |
|      20|0GL_ACCOUNT                   |CAUS0000113102                  | 6| |      17|        |      21|          |          | |SAKNR                         |CAUS|113102    | | |
|      21|0GL_ACCOUNT                   |CAUS0000113103                  | 6| |      17|        |      22|          |          | |SAKNR                         |CAUS|113103    | | |
|      22|0GL_ACCOUNT                   |CAUS0000113104                  | 6| |      17|        |      23|          |          | |SAKNR                         |CAUS|113104    | | |
|      23|0GL_ACCOUNT                   |CAUS0000113105                  | 6| |      17|        |      24|          |          | |SAKNR                         |CAUS|113105    | | |
|      24|0GL_ACCOUNT                   |CAUS0000113108                  | 6| |      17|        |      25|          |          | |SAKNR                         |CAUS|113108    | | |
|      25|0GL_ACCOUNT                   |CAUS0000113109                  | 6| |      17|        |      26|          |          | |SAKNR                         |CAUS|113109    | | |
|      26|0GL_ACCOUNT                   |CAUS0000113113                  | 6| |      17|        |      27|          |          | |SAKNR                         |CAUS|113113    | | |
|      27|0GL_ACCOUNT                   |CAUS0000113130                  | 6| |      17|        |      28|          |          | |SAKNR                         |CAUS|113130    | | |
|      28|0GL_ACCOUNT                   |CAUS0000113131                  | 6| |      17|        |      29|          |          | |SAKNR                         |CAUS|113131    | | |
|      29|0GL_ACCOUNT                   |CAUS0000113150                  | 6| |      17|        |      30|          |          | |SAKNR                         |CAUS|113150    | | |
|      30|0GL_ACCOUNT                   |CAUS0000113160                  | 6| |      17|        |        |          |          | |SAKNR                         |CAUS|113160    | | |
|      31|0HIER_NODE                    |CAUS1011400                     | 5| |       4|      32|      41|          |          | |NODENAME                      |    |          | | |
|      32|0GL_ACCOUNT                   |CAUS0000113200                  | 6| |      31|        |      33|          |          | |SAKNR                         |CAUS|113200    | | |
|      33|0GL_ACCOUNT                   |CAUS0000113201                  | 6| |      31|        |      34|          |          | |SAKNR                         |CAUS|113201    | | |
|      34|0GL_ACCOUNT                   |CAUS0000113202                  | 6| |      31|        |      35|          |          | |SAKNR                         |CAUS|113202    | | |
|      35|0GL_ACCOUNT                   |CAUS0000113203                  | 6| |      31|        |      36|          |          | |SAKNR                         |CAUS|113203    | | |
|      36|0GL_ACCOUNT                   |CAUS0000113204                  | 6| |      31|        |      37|          |          | |SAKNR                         |CAUS|113204    | | |
|      37|0GL_ACCOUNT                   |CAUS0000113205                  | 6| |      31|        |      38|          |          | |SAKNR                         |CAUS|113205    | | |
|      38|0GL_ACCOUNT                   |CAUS0000113208                  | 6| |      31|        |      39|          |          | |SAKNR                         |CAUS|113208    | | |
|      39|0GL_ACCOUNT                   |CAUS0000113209                  | 6| |      31|        |      40|          |          | |SAKNR                         |CAUS|113209    | | |
|      40|0GL_ACCOUNT                   |CAUS0000113213                  | 6| |      31|        |        |          |          | |SAKNR                         |CAUS|113213    | | |
|      41|0HIER_NODE                    |CAUS1011500                     | 5| |       4|      42|      43|          |          | |NODENAME                      |    |          | | |
|      42|0GL_ACCOUNT                   |CAUS0000114000                  | 6| |      41|        |        |          |          | |SAKNR                         |CAUS|114000    | | |
|      43|0HIER_NODE                    |CAUS1011600                     | 5| |       4|      44|        |          |          | |NODENAME                      |    |          | | |
|      44|0GL_ACCOUNT                   |CAUS0000115000                  | 6| |      43|        |        |          |          | |SAKNR                         |CAUS|115000    | | |
|      45|0HIER_NODE                    |CAUS1012000                     | 4| |       3|      46|      52|          |          | |NODENAME                      |    |          | | |
|      46|0HIER_NODE                    |CAUS1012100                     | 5| |      45|      47|      49|          |          | |NODENAME                      |    |          | | |
|      47|0GL_ACCOUNT                   |CAUS0000131000                  | 6| |      46|        |      48|          |          | |SAKNR                         |CAUS|131000    | | |
|      48|0GL_ACCOUNT                   |CAUS0000132000                  | 6| |      46|        |        |          |          | |SAKNR                         |CAUS|132000    | | |
|      49|0HIER_NODE                    |CAUS1012200                     | 5| |      45|      50|        |          |          | |NODENAME                      |    |          | | |
|      50|0GL_ACCOUNT                   |CAUS0000045000                  | 6| |      49|        |      51|          |          | |SAKNR                         |CAUS|45000     | | |
|      51|0GL_ACCOUNT                   |CAUS0000133000                  | 6| |      49|        |        |          |          | |SAKNR                         |CAUS|133000    | | |
|      52|0HIER_NODE                    |CAUS1013000                     | 4| |       3|      53|      75|          |          | |NODENAME                      |    |          | | |
|      53|0HIER_NODE                    |CAUS1013100                     | 5| |      52|      54|      64|          |          | |NODENAME                      |    |          | | |
|      54|0GL_ACCOUNT                   |CAUS0000144002                  | 6| |      53|        |      55|          |          | |SAKNR                         |CAUS|144002    | | |
|      55|0GL_ACCOUNT                   |CAUS0000144003                  | 6| |      53|        |      56|          |          | |SAKNR                         |CAUS|144003    | | |
|      56|0GL_ACCOUNT                   |CAUS0000144102                  | 6| |      53|        |      57|          |          | |SAKNR                         |CAUS|144102    | | |
|      57|0GL_ACCOUNT                   |CAUS0000144103                  | 6| |      53|        |      58|          |          | |SAKNR                         |CAUS|144103    | | |
|      58|0GL_ACCOUNT                   |CAUS0000145000                  | 6| |      53|        |      59|          |          | |SAKNR                         |CAUS|145000    | | |
|      59|0GL_ACCOUNT                   |CAUS0000145020                  | 6| |      53|        |      60|          |          | |SAKNR                         |CAUS|145020    | | |
|      60|0GL_ACCOUNT                   |CAUS0000145099                  | 6| |      53|        |      61|          |          | |SAKNR                         |CAUS|145099    | | |
|      61|0GL_ACCOUNT                   |CAUS0000159100                  | 6| |      53|        |      62|          |          | |SAKNR                         |CAUS|159100    | | |
|      62|0GL_ACCOUNT                   |CAUS0000163000                  | 6| |      53|        |      63|          |          | |SAKNR                         |CAUS|163000    | | |
|      63|0GL_ACCOUNT                   |CAUS0000197000                  | 6| |      53|        |        |          |          | |SAKNR                         |CAUS|197000    | | |
|      64|0HIER_NODE                    |CAUS1013200                     | 5| |      52|      65|      72|          |          | |NODENAME                      |    |          | | |
|      65|0GL_ACCOUNT                   |CAUS0000140000                  | 6| |      64|        |      66|          |          | |SAKNR                         |CAUS|140000    | | |
|      66|0GL_ACCOUNT                   |CAUS0000140010                  | 6| |      64|        |      67|          |          | |SAKNR                         |CAUS|140010    | | |
|      67|0GL_ACCOUNT                   |CAUS0000140099                  | 6| |      64|        |      68|          |          | |SAKNR                         |CAUS|140099    | | |
|      68|0GL_ACCOUNT                   |CAUS0000141000                  | 6| |      64|        |      69|          |          | |SAKNR                         |CAUS|141000    | | |
|      69|0GL_ACCOUNT                   |CAUS0000141010                  | 6| |      64|        |      70|          |          | |SAKNR                         |CAUS|141010    | | |
|      70|0GL_ACCOUNT                   |CAUS0000141099                  | 6| |      64|        |      71|          |          | |SAKNR                         |CAUS|141099    | | |
|      71|0GL_ACCOUNT                   |CAUS0000143100                  | 6| |      64|        |        |          |          | |SAKNR                         |CAUS|143100    | | |
|      72|0HIER_NODE                    |CAUS1013300                     | 5| |      52|      73|        |          |          | |NODENAME                      |    |          | | |
|      73|0GL_ACCOUNT                   |CAUS0000080000                  | 6| |      72|        |      74|          |          | |SAKNR                         |CAUS|80000     | | |
|      74|0GL_ACCOUNT                   |CAUS0000142000                  | 6| |      72|        |        |          |          | |SAKNR                         |CAUS|142000    | | |
|      75|0HIER_NODE                    |CAUS1015000                     | 4| |       3|      76|     100|          |          | |NODENAME                      |    |          | | |
|      76|0HIER_NODE                    |CAUS1015100                     | 5| |      75|      77|      81|          |          | |NODENAME                      |    |          | | |
|      77|0GL_ACCOUNT                   |CAUS0000300000                  | 6| |      76|        |      78|          |          | |SAKNR                         |CAUS|300000    | | |
|      78|0GL_ACCOUNT                   |CAUS0000300100                  | 6| |      76|        |      79|          |          | |SAKNR                         |CAUS|300100    | | |
|      79|0GL_ACCOUNT                   |CAUS0000300200                  | 6| |      76|        |      80|          |          | |SAKNR                         |CAUS|300200    | | |
|      80|0GL_ACCOUNT                   |CAUS0000300300                  | 6| |      76|        |        |          |          | |SAKNR                         |CAUS|300300    | | |
|      81|0HIER_NODE                    |CAUS1052000                     | 5| |      75|      82|      84|          |          | |NODENAME                      |    |          | | |
|      82|0GL_ACCOUNT                   |CAUS0000790000                  | 6| |      81|        |      83|          |          | |SAKNR                         |CAUS|790000    | | |
|      83|0GL_ACCOUNT                   |CAUS0000791000                  | 6| |      81|        |        |          |          | |SAKNR                         |CAUS|791000    | | |
|      84|0HIER_NODE                    |CAUS1053000                     | 5| |      75|      85|      91|          |          | |NODENAME                      |    |          | | |
|      85|0GL_ACCOUNT                   |CAUS0000191101                  | 6| |      84|        |      86|          |          | |SAKNR                         |CAUS|191101    | | |
|      86|0GL_ACCOUNT                   |CAUS0000191102                  | 6| |      84|        |      87|          |          | |SAKNR                         |CAUS|191102    | | |
|      87|0GL_ACCOUNT                   |CAUS0000310000                  | 6| |      84|        |      88|          |          | |SAKNR                         |CAUS|310000    | | |
|      88|0GL_ACCOUNT                   |CAUS0000380000                  | 6| |      84|        |      89|          |          | |SAKNR                         |CAUS|380000    | | |
|      89|0GL_ACCOUNT                   |CAUS0000390000                  | 6| |      84|        |      90|          |          | |SAKNR                         |CAUS|390000    | | |
|      90|0GL_ACCOUNT                   |CAUS0000792000                  | 6| |      84|        |        |          |          | |SAKNR                         |CAUS|792000    | | |
|      91|0HIER_NODE                    |CAUS1054000                     | 5| |      75|      92|      93|          |          | |NODENAME                      |    |          | | |
|      92|0GL_ACCOUNT                   |CAUS0000303000                  | 6| |      91|        |        |          |          | |SAKNR                         |CAUS|303000    | | |
|      93|0HIER_NODE                    |CAUS1055000                     | 5| |      75|      94|      97|          |          | |NODENAME                      |    |          | | |
|      94|0GL_ACCOUNT                   |CAUS0000304000                  | 6| |      93|        |      95|          |          | |SAKNR                         |CAUS|304000    | | |
|      95|0GL_ACCOUNT                   |CAUS0000304100                  | 6| |      93|        |      96|          |          | |SAKNR                         |CAUS|304100    | | |
|      96|0GL_ACCOUNT                   |CAUS0000304200                  | 6| |      93|        |        |          |          | |SAKNR                         |CAUS|304200    | | |
|      97|0HIER_NODE                    |CAUS1056000                     | 5| |      75|      98|        |          |          | |NODENAME                      |    |          | | |
|      98|0GL_ACCOUNT                   |CAUS0000305000                  | 6| |      97|        |      99|          |          | |SAKNR                         |CAUS|305000    | | |
|      99|0GL_ACCOUNT                   |CAUS0000310200                  | 6| |      97|        |        |          |          | |SAKNR                         |CAUS|310200    | | |
|     100|0HIER_NODE                    |CAUS1016000                     | 4| |       3|     101|        |          |          | |NODENAME                      |    |          | | |
|     101|0HIER_NODE                    |CAUS1061000                     | 5| |     100|     102|     105|          |          | |NODENAME                      |    |          | | |
|     102|0GL_ACCOUNT                   |CAUS0000099000                  | 6| |     101|        |     103|          |          | |SAKNR                         |CAUS|99000     | | |
|     103|0GL_ACCOUNT                   |CAUS0000120000                  | 6| |     101|        |     104|          |          | |SAKNR                         |CAUS|120000    | | |
|     104|0GL_ACCOUNT                   |CAUS0000152000                  | 6| |     101|        |        |          |          | |SAKNR                         |CAUS|152000    | | |
|     105|0HIER_NODE                    |CAUS1063000                     | 5| |     100|     106|     110|          |          | |NODENAME                      |    |          | | |
|     106|0GL_ACCOUNT                   |CAUS0000042000                  | 6| |     105|        |     107|          |          | |SAKNR                         |CAUS|42000     | | |
|     107|0GL_ACCOUNT                   |CAUS0000042020                  | 6| |     105|        |     108|          |          | |SAKNR                         |CAUS|42020     | | |
|     108|0GL_ACCOUNT                   |CAUS0000044000                  | 6| |     105|        |     109|          |          | |SAKNR                         |CAUS|44000     | | |
|     109|0GL_ACCOUNT                   |CAUS0000044020                  | 6| |     105|        |        |          |          | |SAKNR                         |CAUS|44020     | | |
|     110|0HIER_NODE                    |CAUS1064000                     | 5| |     100|     111|        |          |          | |NODENAME                      |    |          | | |
|     111|0GL_ACCOUNT                   |CAUS0000031000                  | 6| |     110|        |     112|          |          | |SAKNR                         |CAUS|31000     | | |
|     112|0GL_ACCOUNT                   |CAUS0000039000                  | 6| |     110|        |     113|          |          | |SAKNR                         |CAUS|39000     | | |
|     113|0GL_ACCOUNT                   |CAUS0000091000                  | 6| |     110|        |     114|          |          | |SAKNR                         |CAUS|91000     | | |
|     114|0GL_ACCOUNT                   |CAUS0000095000                  | 6| |     110|        |     115|          |          | |SAKNR                         |CAUS|95000     | | |
|     115|0GL_ACCOUNT                   |CAUS0000098000                  | 6| |     110|        |     116|          |          | |SAKNR                         |CAUS|98000     | | |
|     116|0GL_ACCOUNT                   |CAUS0000151000                  | 6| |     110|        |     117|          |          | |SAKNR                         |CAUS|151000    | | |
|     117|0GL_ACCOUNT                   |CAUS0000151102                  | 6| |     110|        |     118|          |          | |SAKNR                         |CAUS|151102    | | |
|     118|0GL_ACCOUNT                   |CAUS0000151103                  | 6| |     110|        |     119|          |          | |SAKNR                         |CAUS|151103    | | |
|     119|0GL_ACCOUNT                   |CAUS0000155000                  | 6| |     110|        |     120|          |          | |SAKNR                         |CAUS|155000    | | |
|     120|0GL_ACCOUNT                   |CAUS0000156000                  | 6| |     110|        |     121|          |          | |SAKNR                         |CAUS|156000    | | |
|     121|0GL_ACCOUNT                   |CAUS0000159000                  | 6| |     110|        |        |          |          | |SAKNR                         |CAUS|159000    | | |
|     122|0HIER_NODE                    |CAUS1020000                     | 3| |       2|     123|        |          |          | |NODENAME                      |    |          | | |
|     123|0HIER_NODE                    |CAUS1021000                     | 4| |     122|     124|     140|          |          | |NODENAME                      |    |          | | |
|     124|0HIER_NODE                    |CAUS1021100                     | 5| |     123|     125|     132|          |          | |NODENAME                      |    |          | | |
|     125|0GL_ACCOUNT                   |CAUS0000001000                  | 6| |     124|        |     126|          |          | |SAKNR                         |CAUS|1000      | | |
|     126|0GL_ACCOUNT                   |CAUS0000002000                  | 6| |     124|        |     127|          |          | |SAKNR                         |CAUS|2000      | | |
|     127|0GL_ACCOUNT                   |CAUS0000011000                  | 6| |     124|        |     128|          |          | |SAKNR                         |CAUS|11000     | | |
|     128|0GL_ACCOUNT                   |CAUS0000012000                  | 6| |     124|        |     129|          |          | |SAKNR                         |CAUS|12000     | | |
|     129|0GL_ACCOUNT                   |CAUS0000021000                  | 6| |     124|        |     130|          |          | |SAKNR                         |CAUS|21000     | | |
|     130|0GL_ACCOUNT                   |CAUS0000022000                  | 6| |     124|        |     131|          |          | |SAKNR                         |CAUS|22000     | | |
|     131|0GL_ACCOUNT                   |CAUS0000034000                  | 6| |     124|        |        |          |          | |SAKNR                         |CAUS|34000     | | |
|     132|0HIER_NODE                    |CAUS1021200                     | 5| |     123|     133|        |          |          | |NODENAME                      |    |          | | |
|     133|0GL_ACCOUNT                   |CAUS0000001010                  | 6| |     132|        |     134|          |          | |SAKNR                         |CAUS|1010      | | |
|     134|0GL_ACCOUNT                   |CAUS0000002010                  | 6| |     132|        |     135|          |          | |SAKNR                         |CAUS|2010      | | |
|     135|0GL_ACCOUNT                   |CAUS0000011010                  | 6| |     132|        |     136|          |          | |SAKNR                         |CAUS|11010     | | |
|     136|0GL_ACCOUNT                   |CAUS0000012010                  | 6| |     132|        |     137|          |          | |SAKNR                         |CAUS|12010     | | |
|     137|0GL_ACCOUNT                   |CAUS0000021010                  | 6| |     132|        |     138|          |          | |SAKNR                         |CAUS|21010     | | |
|     138|0GL_ACCOUNT                   |CAUS0000022010                  | 6| |     132|        |     139|          |          | |SAKNR                         |CAUS|22010     | | |
|     139|0GL_ACCOUNT                   |CAUS0000034010                  | 6| |     132|        |        |          |          | |SAKNR                         |CAUS|34010     | | |
|     140|0HIER_NODE                    |CAUS1022000                     | 4| |     122|     141|     145|          |          | |NODENAME                      |    |          | | |
|     141|0HIER_NODE                    |CAUS1022100                     | 5| |     140|     142|     143|          |          | |NODENAME                      |    |          | | |
|     142|0GL_ACCOUNT                   |CAUS0000041000                  | 6| |     141|        |        |          |          | |SAKNR                         |CAUS|41000     | | |
|     143|0HIER_NODE                    |CAUS1022200                     | 5| |     140|     144|        |          |          | |NODENAME                      |    |          | | |
|     144|0GL_ACCOUNT                   |CAUS0000043000                  | 6| |     143|        |        |          |          | |SAKNR                         |CAUS|43000     | | |
|     145|0HIER_NODE                    |CAUS1023000                     | 4| |     122|     146|        |          |          | |NODENAME                      |    |          | | |
|     146|0HIER_NODE                    |CAUS1023100                     | 5| |     145|     147|     151|          |          | |NODENAME                      |    |          | | |
|     147|0GL_ACCOUNT                   |CAUS0000140020                  | 6| |     146|        |     148|          |          | |SAKNR                         |CAUS|140020    | | |
|     148|0GL_ACCOUNT                   |CAUS0000141020                  | 6| |     146|        |     149|          |          | |SAKNR                         |CAUS|141020    | | |
|     149|0GL_ACCOUNT                   |CAUS0000144020                  | 6| |     146|        |     150|          |          | |SAKNR                         |CAUS|144020    | | |
|     150|0GL_ACCOUNT                   |CAUS0000159200                  | 6| |     146|        |        |          |          | |SAKNR                         |CAUS|159200    | | |
|     151|0HIER_NODE                    |CAUS1023200                     | 5| |     145|     152|     156|          |          | |NODENAME                      |    |          | | |
|     152|0GL_ACCOUNT                   |CAUS0000035000                  | 6| |     151|        |     153|          |          | |SAKNR                         |CAUS|35000     | | |
|     153|0GL_ACCOUNT                   |CAUS0000036000                  | 6| |     151|        |     154|          |          | |SAKNR                         |CAUS|36000     | | |
|     154|0GL_ACCOUNT                   |CAUS0000037000                  | 6| |     151|        |     155|          |          | |SAKNR                         |CAUS|37000     | | |
|     155|0GL_ACCOUNT                   |CAUS0000038000                  | 6| |     151|        |        |          |          | |SAKNR                         |CAUS|38000     | | |
|     156|0HIER_NODE                    |CAUS1023300                     | 5| |     145|     157|        |          |          | |NODENAME                      |    |          | | |
|     157|0GL_ACCOUNT                   |CAUS0000035010                  | 6| |     156|        |     158|          |          | |SAKNR                         |CAUS|35010     | | |
|     158|0GL_ACCOUNT                   |CAUS0000036010                  | 6| |     156|        |     159|          |          | |SAKNR                         |CAUS|36010     | | |
|     159|0GL_ACCOUNT                   |CAUS0000037010                  | 6| |     156|        |     160|          |          | |SAKNR                         |CAUS|37010     | | |
|     160|0GL_ACCOUNT                   |CAUS0000038010                  | 6| |     156|        |     161|          |          | |SAKNR                         |CAUS|38010     | | |
|     161|0GL_ACCOUNT                   |CAUS0000166000                  | 6| |     156|        |        |          |          | |SAKNR                         |CAUS|166000    | | |
|     162|0HIER_NODE                    |CAUS2000000                     | 2| |       1|     163|     279|          |          | |NODENAME                      |    |          | | |
|     163|0HIER_NODE                    |CAUS2010000                     | 3| |     162|     164|     233|          |          | |NODENAME                      |    |          | | |
|     164|0HIER_NODE                    |CAUS2011000                     | 4| |     163|     165|     174|          |          | |NODENAME                      |    |          | | |
|     165|0HIER_NODE                    |CAUS2011100                     | 5| |     164|     166|     170|          |          | |NODENAME                      |    |          | | |
|     166|0GL_ACCOUNT                   |CAUS0000046000                  | 6| |     165|        |     167|          |          | |SAKNR                         |CAUS|46000     | | |
|     167|0GL_ACCOUNT                   |CAUS0000060110                  | 6| |     165|        |     168|          |          | |SAKNR                         |CAUS|60110     | | |
|     168|0GL_ACCOUNT                   |CAUS0000060310                  | 6| |     165|        |     169|          |          | |SAKNR                         |CAUS|60310     | | |
|     169|0GL_ACCOUNT                   |CAUS0000062110                  | 6| |     165|        |        |          |          | |SAKNR                         |CAUS|62110     | | |
|     170|0HIER_NODE                    |CAUS2011200                     | 5| |     164|     171|        |          |          | |NODENAME                      |    |          | | |
|     171|0GL_ACCOUNT                   |CAUS0000060210                  | 6| |     170|        |     172|          |          | |SAKNR                         |CAUS|60210     | | |
|     172|0GL_ACCOUNT                   |CAUS0000060410                  | 6| |     170|        |     173|          |          | |SAKNR                         |CAUS|60410     | | |
|     173|0GL_ACCOUNT                   |CAUS0000062210                  | 6| |     170|        |        |          |          | |SAKNR                         |CAUS|62210     | | |
|     174|0HIER_NODE                    |CAUS2012000                     | 4| |     163|     175|     198|          |          | |NODENAME                      |    |          | | |
|     175|0HIER_NODE                    |CAUS2012100                     | 5| |     174|     176|     181|          |          | |NODENAME                      |    |          | | |
|     176|0GL_ACCOUNT                   |CAUS0000143000                  | 6| |     175|        |     177|          |          | |SAKNR                         |CAUS|143000    | | |
|     177|0GL_ACCOUNT                   |CAUS0000165000                  | 6| |     175|        |     178|          |          | |SAKNR                         |CAUS|165000    | | |
|     178|0GL_ACCOUNT                   |CAUS0000165099                  | 6| |     175|        |     179|          |          | |SAKNR                         |CAUS|165099    | | |
|     179|0GL_ACCOUNT                   |CAUS0000169900                  | 6| |     175|        |     180|          |          | |SAKNR                         |CAUS|169900    | | |
|     180|0GL_ACCOUNT                   |CAUS0000197100                  | 6| |     175|        |        |          |          | |SAKNR                         |CAUS|197100    | | |
|     181|0HIER_NODE                    |CAUS2012200                     | 5| |     174|     182|        |          |          | |NODENAME                      |    |          | | |
|     182|0GL_ACCOUNT                   |CAUS0000160000                  | 6| |     181|        |     183|          |          | |SAKNR                         |CAUS|160000    | | |
|     183|0GL_ACCOUNT                   |CAUS0000160010                  | 6| |     181|        |     184|          |          | |SAKNR                         |CAUS|160010    | | |
|     184|0GL_ACCOUNT                   |CAUS0000160099                  | 6| |     181|        |     185|          |          | |SAKNR                         |CAUS|160099    | | |
|     185|0GL_ACCOUNT                   |CAUS0000161000                  | 6| |     181|        |     186|          |          | |SAKNR                         |CAUS|161000    | | |
|     186|0GL_ACCOUNT                   |CAUS0000161010                  | 6| |     181|        |     187|          |          | |SAKNR                         |CAUS|161010    | | |
|     187|0GL_ACCOUNT                   |CAUS0000161099                  | 6| |     181|        |     188|          |          | |SAKNR                         |CAUS|161099    | | |
|     188|0GL_ACCOUNT                   |CAUS0000163100                  | 6| |     181|        |     189|          |          | |SAKNR                         |CAUS|163100    | | |
|     189|0GL_ACCOUNT                   |CAUS0000164002                  | 6| |     181|        |     190|          |          | |SAKNR                         |CAUS|164002    | | |
|     190|0GL_ACCOUNT                   |CAUS0000164003                  | 6| |     181|        |     191|          |          | |SAKNR                         |CAUS|164003    | | |
|     191|0GL_ACCOUNT                   |CAUS0000164102                  | 6| |     181|        |     192|          |          | |SAKNR                         |CAUS|164102    | | |
|     192|0GL_ACCOUNT                   |CAUS0000164103                  | 6| |     181|        |     193|          |          | |SAKNR                         |CAUS|164103    | | |
