-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            ROSFOLDERT                    |
-----------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|La|InfoObject(IOBJNM)            |Node name(NODENAME)             |Descript.(TXTSH)    |Descript.(TXTMD)                        |Descript.(TXTLG)                                            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|EN|0HIER_NODE                    |GKR                             |Commercial balance s|Commercial balance sheet (Germany)      |Commercial balance sheet (Germany)                          |
|EN|0HIER_NODE                    |GKR 1000000                     |A K T I V A         |A K T I V A                             |A K T I V A                                                 |
|EN|0HIER_NODE                    |GKR 1010000                     |Ausstehende Kapital-|Ausstehende Kapital-Einlagen            |Ausstehende Kapital-Einlagen                                |
|EN|0HIER_NODE                    |GKR 1011000                     |Eingefordert        |Eingefordert                            |Eingefordert                                                |
|EN|0HIER_NODE                    |GKR 1012000                     |Nicht eingefordert  |Nicht eingefordert                      |Nicht eingefordert                                          |
|EN|0HIER_NODE                    |GKR 1020000                     |Aufwendungen fuer di|Aufwendungen fuer die Ingangsetzung und |Aufwendungen fuer die Ingangsetzung und                     |
|EN|0HIER_NODE                    |GKR 1021000                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                                            |
|EN|0HIER_NODE                    |GKR 1022000                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
|EN|0HIER_NODE                    |GKR 1030000                     |Anlagevermoegen     |Anlagevermoegen                         |Anlagevermoegen                                             |
|EN|0HIER_NODE                    |GKR 1031000                     |Immaterielle Vermoeg|Immaterielle Vermoegens-Gegenstaende    |Immaterielle Vermoegens-Gegenstaende                        |
|EN|0HIER_NODE                    |GKR 1031010                     |Konzessionen, gewerb|Konzessionen, gewerbliche Schutzrechte  |Konzessionen, gewerbliche Schutzrechte                      |
|EN|0HIER_NODE                    |GKR 1031011                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                                            |
|EN|0HIER_NODE                    |GKR 1031012                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
|EN|0HIER_NODE                    |GKR 1031020                     |Geschaefts- oder Fir|Geschaefts- oder Firmen-Wert            |Geschaefts- oder Firmen-Wert                                |
|EN|0HIER_NODE                    |GKR 1031021                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                                            |
|EN|0HIER_NODE                    |GKR 1031022                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
|EN|0HIER_NODE                    |GKR 1031030                     |Geleiste Anzahlungen|Geleiste Anzahlungen                    |Geleiste Anzahlungen                                        |
|EN|0HIER_NODE                    |GKR 1031031                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                                            |
|EN|0HIER_NODE                    |GKR 1031032                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
|EN|0HIER_NODE                    |GKR 1032000                     |Sachanlagen         |Sachanlagen                             |Sachanlagen                                                 |
|EN|0HIER_NODE                    |GKR 1032010                     |Grundstuecke, grunds|Grundstuecke, grundstuecksgleiche Rechte|Grundstuecke, grundstuecksgleiche Rechte und                |
|EN|0HIER_NODE                    |GKR 1032011                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                         0500               |
|EN|0HIER_NODE                    |GKR 1032012                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
|EN|0HIER_NODE                    |GKR 1032020                     |Technische Anlagen u|Technische Anlagen und Maschinen        |Technische Anlagen und Maschinen                            |
|EN|0HIER_NODE                    |GKR 1032021                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                         1000               |
|EN|0HIER_NODE                    |GKR 1032022                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
|EN|0HIER_NODE                    |GKR 1032030                     |Andere Anlagen sowie|Andere Anlagen sowie                    |Andere Anlagen sowie                                        |
|EN|0HIER_NODE                    |GKR 1032031                     |Anschaffungswert    |Anschaffungswert                        |Anschaffungswert                         2000               |
|EN|0HIER_NODE                    |GKR 1032032                     |Wertberichtigung    |Wertberichtigung                        |Wertberichtigung                                            |
