-----------------------------------------------------
| DataSource          0GL_ACCOUNT_T011_HIER         |
| Struktur            DTFIGL_HIERNODE               |
-----------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|ID(NODEI|InfoObject(IOBJNM)            |Node name(NODENAME)             |Le|L|Parent I|Child ID|Next ID(|Valid from|To(DATETO)|I|Field(FIELDNM)                |Chrt|G/L acct(S|S|(|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|       1|0HIER_NODE                    |GKR                             | 1| |        |       2|        |          |          | |NODENAME                      |    |          | | |
|       2|0HIER_NODE                    |GKR 1000000                     | 2| |       1|       3|     247|          |          | |NODENAME                      |    |          | | |
|       3|0HIER_NODE                    |GKR 1010000                     | 3| |       2|       4|       8|          |          | |NODENAME                      |    |          | | |
|       4|0HIER_NODE                    |GKR 1011000                     | 4| |       3|       5|       6|          |          | |NODENAME                      |    |          | | |
|       5|0GL_ACCOUNT                   |GKR 0000050000                  | 5| |       4|        |        |          |          | |SAKNR                         |GKR |50000     | | |
|       6|0HIER_NODE                    |GKR 1012000                     | 4| |       3|       7|        |          |          | |NODENAME                      |    |          | | |
|       7|0GL_ACCOUNT                   |GKR 0000051000                  | 5| |       6|        |        |          |          | |SAKNR                         |GKR |51000     | | |
|       8|0HIER_NODE                    |GKR 1020000                     | 3| |       2|       9|      15|          |          | |NODENAME                      |    |          | | |
|       9|0HIER_NODE                    |GKR 1021000                     | 4| |       8|      10|      12|          |          | |NODENAME                      |    |          | | |
|      10|0GL_ACCOUNT                   |GKR 0000055000                  | 5| |       9|        |      11|          |          | |SAKNR                         |GKR |55000     | | |
|      11|0GL_ACCOUNT                   |GKR 0000056000                  | 5| |       9|        |        |          |          | |SAKNR                         |GKR |56000     | | |
|      12|0HIER_NODE                    |GKR 1022000                     | 4| |       8|      13|        |          |          | |NODENAME                      |    |          | | |
|      13|0GL_ACCOUNT                   |GKR 0000055010                  | 5| |      12|        |      14|          |          | |SAKNR                         |GKR |55010     | | |
|      14|0GL_ACCOUNT                   |GKR 0000056010                  | 5| |      12|        |        |          |          | |SAKNR                         |GKR |56010     | | |
|      15|0HIER_NODE                    |GKR 1030000                     | 3| |       2|      16|      94|          |          | |NODENAME                      |    |          | | |
|      16|0HIER_NODE                    |GKR 1031000                     | 4| |      15|      17|      41|          |          | |NODENAME                      |    |          | | |
|      17|0HIER_NODE                    |GKR 1031010                     | 5| |      16|      18|      28|          |          | |NODENAME                      |    |          | | |
